teacher_decision,teacher_comment,row_number,question_external_id,topic_slug,topic_title,difficulty,format,adaptive_tier,review_priority,review_flags,staging_status,source_kind,source_file_name,source_locator,objective_codes,question_family_code,selection_weight,asset_count,assets,stem,options_or_prompt,correct_answer,markscheme_points,explanation,teacher_notes,tags,max_marks,dedupe_fingerprint
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,842,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q011,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,true_false,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.true-false-teleworker.identify,1.0,0,,True or False: Teleworker activity is more difficult for managers to monitor.,,True,True,The statement is true. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,true-false,1,96290aaa57959996
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,843,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q012,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,true_false,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.true-false-teleworking.identify,1.0,0,,True or False: Teleworking is the use of the telephone to make sales to customers.,,False,False,"The statement is false. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,true-false,1,6961c861e053bde5
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,844,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q013,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,true_false,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.true-false-portable.identify,1.0,0,,True or False: Portable devices such as smartphones can blur the line between an employee's work and home life.,,True,True,The statement is true. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,true-false,1,3d228df246b154b7
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,845,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q014,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,fill_gap,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.complete-sentence-working.complete,1.0,0,,"Complete the sentence: Working from home using ICT is known as ______________. Employees can keep in touch with their workplace via email, messaging, video conferencing and the ______________.",,gap1: Teleworking | gap2: internet,Teleworking | internet,"An accepted answer is Teleworking; internet. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,fill-in-the-blank,2,bf5903522ec1646f
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,846,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q015,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,fill_gap,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.traditional-working-day.complete,1.0,0,,"The traditional working day for many employees was ______________, but ICT has allowed many organisations to operate 24/7.",,gap1: 9-5 / 9 to 5,9-5,An accepted answer is 9-5. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,fill-in-the-blank,1,d8c63e3a6c0df726
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,847,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q016,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,short_text,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.work-pattern-resulted.identify,1.0,0,,Name one type of work pattern that resulted from organisations being able to operate 24/7.,,Shift work,Shift work,An accepted answer is Shift work. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,short-factual,1,845f147491dadefb
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,850,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q019,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.devices-mentioned-fact.choose,1.0,0,,Which of the following devices is mentioned in the fact file as one a teleworker might use to keep in touch with their workplace?,A. Photocopier | B. PDA | C. Filing cabinet | D. Fax machine,B. PDA,B,The correct option is PDA. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,45c1fa475cd0dc1f
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,390,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q001,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,short_text,core,high,transformed_exam_item,ready_for_review,past_paper,topics_10_11_12.md,"2018 Q11(b), originally 2-mark ""list two"" — rebuilt as short recall",changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.advantage-teleworking-employer.identify,1.0,0,,State one advantage of teleworking to an employer.,,reduced overheads,reduced overheads,"An accepted answer is reduced overheads. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,short-answer,1,e59ca0c46ce466b9
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,391,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q002,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,short_text,core,high,transformed_exam_item,ready_for_review,past_paper,topics_10_11_12.md,"2018 Q11(b), originally 2-mark ""list two"" — rebuilt as short recall",changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.another-advantage-teleworking.identify,1.0,0,,State another advantage of teleworking to an employer.,,no geographical restriction on staff recruitment,no geographical restriction on staff recruitment,"An accepted answer is no geographical restriction on staff recruitment. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,short-answer,1,aaee5a6ebf3f826c
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,392,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q003,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,mcq,core,low,,ready_for_review,past_paper,topics_10_11_12.md,"2021 Q11 (Job Displacement), already auto-markable",changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-definition-options.choose,1.0,0,,Match the term to the correct definition Options,A. A term used to describe commercial transactions conducted electronically on the Internet | B. A term used to describe an impact of digital technology on employment | C. A term used to describe working from home using digital technology | D. A term used to describe training delivered electronically over the Internet,B. A term used to describe an impact of digital technology on employment,B,The correct option is A term used to describe an impact of digital technology on employment. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,223dd854af6e1877
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,394,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q005,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,short_text,core,high,transformed_exam_item,ready_for_review,past_paper,topics_10_11_12.md,"2023 Q11(a), originally 6-mark QWC — rebuilt as focused short recall",changes-in-employment-opportunities-skills-requirements-and-work-practices.new-ict-job-roles,changes-in-employment-opportunities-skills-requirements-and-work-practices.positive-impact-digital.identify,1.0,0,,State one positive impact of digital technology on employment.,,"new, skilled job opportunities","new, skilled job opportunities","An accepted answer is new, skilled job opportunities. This question checks whether you can recognise new job roles created by digital technology.",First-pass explanation generated from answer and mapped objective; review before approval.,short-answer,1,eafc641fa401b92a
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,395,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q006,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,short_text,core,high,transformed_exam_item,ready_for_review,past_paper,topics_10_11_12.md,"2023 Q11(a), originally 6-mark QWC — rebuilt as focused short recall",changes-in-employment-opportunities-skills-requirements-and-work-practices.work-patterns-and-flexibility,changes-in-employment-opportunities-skills-requirements-and-work-practices.change-work-patterns.identify,1.0,0,,State one change in work patterns caused by digital technology.,,working from home,working from home,"An accepted answer is working from home. This question checks whether you can explain how digital technology changes working hours, location and work patterns.",First-pass explanation generated from answer and mapped objective; review before approval.,short-answer,1,888b6ce6ababb806
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,910,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q001,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,match_table,core,medium,supplementary_derived_item,ready_for_review,practice_bank,expert_balancing_2026_05.md,supplementary medium balancing item based on employment/work-practices key terms,changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-each-description.match,1.0,0,,Match each description to the correct term.,Rows: Working from home using digital communication tools | Machines or software completing tasks that people used to do Terms: Teleworking; Automation || Choices: Teleworking | Automation,Working from home using digital communication tools -> Teleworking | Machines or software completing tasks that people used to do Terms: Teleworking; Automation -> Automation,Working from home using digital communication tools -> Teleworking | Machines or software completing tasks that people used to do Terms: Teleworking; Automation -> Automation,The correct matches are: Working from home using digital communication tools -> Teleworking; Machines or software completing tasks that people used to do Terms: Teleworking; Automation -> Automation. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,match-the-term,2,696a5a002826e339
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,911,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q002,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,match_table,core,medium,supplementary_derived_item,ready_for_review,practice_bank,expert_balancing_2026_05.md,supplementary medium balancing item based on skills and training,changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-each-situation.match,1.0,0,,Match each situation to the correct workplace response.,Rows: Staff must learn how to use a newly introduced software system | A business creates a role to maintain its network and devices Terms: Retraining; New ICT job role || Choices: Retraining | New ICT job role,Staff must learn how to use a newly introduced software system -> Retraining | A business creates a role to maintain its network and devices Terms: Retraining; New ICT job role -> New ICT job role,Staff must learn how to use a newly introduced software system -> Retraining | A business creates a role to maintain its network and devices Terms: Retraining; New ICT job role -> New ICT job role,The correct matches are: Staff must learn how to use a newly introduced software system -> Retraining; A business creates a role to maintain its network and devices Terms: Retraining; New ICT job role -> New ICT job role. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,match-the-term,2,cad38e6bc808528a
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,912,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q003,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,match_table,core,medium,supplementary_derived_item,ready_for_review,practice_bank,expert_balancing_2026_05.md,supplementary medium balancing item based on flexible working,changes-in-employment-opportunities-skills-requirements-and-work-practices.work-patterns-and-flexibility,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-each-impact.match,1.0,0,,Match each impact to the correct description.,Rows: Staff can work at different times or from different locations | A business can recruit workers without being limited to one local area Terms: Flexible working; Wider recruitment area || Choices: Flexible working | Wider recruitment area,Staff can work at different times or from different locations -> Flexible working | A business can recruit workers without being limited to one local area Terms: Flexible working; Wider recruitment area -> Wider recruitment area,Staff can work at different times or from different locations -> Flexible working | A business can recruit workers without being limited to one local area Terms: Flexible working; Wider recruitment area -> Wider recruitment area,"The correct matches are: Staff can work at different times or from different locations -> Flexible working; A business can recruit workers without being limited to one local area Terms: Flexible working; Wider recruitment area -> Wider recruitment area. This question checks whether you can explain how digital technology changes working hours, location and work patterns.",First-pass explanation generated from answer and mapped objective; review before approval.,match-the-term,2,286f072f315728fd
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,913,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q004,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,match_table,core,medium,supplementary_derived_item,ready_for_review,practice_bank,expert_balancing_2026_05.md,supplementary medium balancing item based on teleworking advantages and disadvantages,changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-each-teleworking.match,1.0,0,,Match each teleworking point to whether it is usually an advantage or disadvantage.,Rows: Less office space may be needed | Staff may feel isolated if communication is poor Terms: Advantage; Disadvantage || Choices: Advantage | Disadvantage,Less office space may be needed -> Advantage | Staff may feel isolated if communication is poor Terms: Advantage; Disadvantage -> Disadvantage,Less office space may be needed -> Advantage | Staff may feel isolated if communication is poor Terms: Advantage; Disadvantage -> Disadvantage,"The correct matches are: Less office space may be needed -> Advantage; Staff may feel isolated if communication is poor Terms: Advantage; Disadvantage -> Disadvantage. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,match-the-term,2,cde48694b757d8fa
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,914,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q005,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",medium,match_table,core,medium,supplementary_derived_item,ready_for_review,practice_bank,expert_balancing_2026_05.md,supplementary medium balancing item based on automation impacts,changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.match-each-automation.match,1.0,0,,Match each automation impact to the correct category.,Rows: Repetitive manual jobs may be reduced | Skilled roles may be needed to program or maintain systems Terms: Negative employment impact; Positive employment opportunity || Choices: Negative employment impact | Positive employment opportunity,Repetitive manual jobs may be reduced -> Negative employment impact | Skilled roles may be needed to program or maintain systems Terms: Negative employment impact; Positive employment opportunity -> Positive employment opportunity,Repetitive manual jobs may be reduced -> Negative employment impact | Skilled roles may be needed to program or maintain systems Terms: Negative employment impact; Positive employment opportunity -> Positive employment opportunity,The correct matches are: Repetitive manual jobs may be reduced -> Negative employment impact; Skilled roles may be needed to program or maintain systems Terms: Negative employment impact; Positive employment opportunity -> Positive employment opportunity. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,match-the-term,2,58e529243dbedb68
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,393,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q004,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",expert,short_text,challenge,high,transformed_exam_item,ready_for_review,past_paper,topics_10_11_12.md,"2023 Q11(a), originally 6-mark QWC — rebuilt as focused short recall",changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.employment-impact-when.identify,1.0,0,,What employment impact is shown when robots replace low-skilled workers in car manufacturing and warehousing?,,job losses,job losses,An accepted answer is job losses. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,short-answer,1,33a04450143e28f2
