severity,category,question_external_id,topic_slug,difficulty,format,source_type,source_ref,detail,stem
medium,duplicate_stem,cyberspace-network-security-and-data-transfer.past_paper.topics_07_08_09.q015,cyberspace-network-security-and-data-transfer,medium,mcq,adapted_exam,"2021 Q10(b), originally 2-mark short answer — converted to MCQ","Same stem appears 2 times: cyberspace-network-security-and-data-transfer.past_paper.topics_07_08_09.q015, cyberspace-network-security-and-data-transfer.practice_bank.topic_07_08_cyberspace_cloud.q001.",Which of the following best defines cybercrime?
medium,duplicate_stem,cyberspace-network-security-and-data-transfer.past_paper.topics_07_08_09.q035,cyberspace-network-security-and-data-transfer,expert,mcq,adapted_exam,"2024 Q8, originally 6-mark QWC — split into multiple, part 1","Same stem appears 2 times: cyberspace-network-security-and-data-transfer.past_paper.topics_07_08_09.q035, ethical-legal-and-environmental-impact.practice_bank.topic_09_12_wider_impact.q004.",Which of the following best describes phishing?
medium,phrase_exact_marking,cyberspace-network-security-and-data-transfer.practice_bank.topic_07_08_cyberspace_cloud.q037,cyberspace-network-security-and-data-transfer,easy,short_text,new_original,"Sources: Factfile Unit 1 - Cyberspace, Factfile Unit 1 - Network Security and Data Transfer","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the protocol on top of which HTTP runs.
medium,duplicate_stem,database-applications.practice_bank.topic_02_03_software_database.q012,database-applications,easy,mcq,new_original,"Sources: Factfile 07 Database Applications (1), Factfile 08 Database Applications (2)","Same stem appears 2 times: database-applications.practice_bank.topic_02_03_software_database.q012, spreadsheet-applications.practice_bank.topic_04_spreadsheet.q024.",What is a macro?
medium,phrase_exact_marking,database-applications.practice_bank.topic_02_03_software_database.q058,database-applications,easy,short_text,new_original,"Sources: Factfile 07 Database Applications (1), Factfile 08 Database Applications (2)","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the type of diagram used to graphically represent the structure of a relational database showing tables and the relationships between them.
medium,duplicate_stem,digital-data.past_paper.topics_01_02.q022,digital-data,medium,short_text,adapted_exam,"2021 Q4(a), kept as original short answer","Same stem appears 2 times: digital-data.past_paper.topics_01_02.q022, digital-data.practice_bank.topic_01_digital_data.q004.",How many bits are there in a byte?
medium,duplicate_stem,digital-data.past_paper.topics_01_02.q033,digital-data,medium,mcq,adapted_exam,"2022 Q11(a), originally 2-mark ""What is data portability?"" — converted to MCQ","Same stem appears 2 times: digital-data.past_paper.topics_01_02.q033, digital-data.past_paper.topics_01_02.q056.",What is data portability?
medium,phrase_exact_marking,digital-data.practice_bank.topic_01_digital_data.q021,digital-data,easy,short_text,new_original,"Sources: Factfile 01 Representing Data, Factfile 02 Representing Images, Factfile 03 Representing Sound, Factfile 04 Portability","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",State the most appropriate storage unit to measure the size of a short video clip recorded on a phone.
medium,phrase_exact_marking,digital-data.practice_bank.topic_01_digital_data.q065,digital-data,easy,short_text,new_original,"Sources: Factfile 01 Representing Data, Factfile 02 Representing Images, Factfile 03 Representing Sound, Factfile 04 Portability","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What term is used to describe data that can be transferred between devices or programs without having to be entered again?
medium,duplicate_stem,digital-data.practice_bank.topic_01_digital_data.q073,digital-data,easy,mcq,new_original,"Sources: Factfile 01 Representing Data, Factfile 02 Representing Images, Factfile 03 Representing Sound, Factfile 04 Portability","Same stem appears 2 times: digital-data.practice_bank.topic_01_digital_data.q073, spreadsheet-applications.practice_bank.topic_04_spreadsheet.q015.",What does CSV stand for?
medium,duplicate_stem,digital-data.practice_bank.topic_01_digital_data.q108,digital-data,expert,match_table,new_original,"Sources: Factfile 01 Representing Data, Factfile 02 Representing Images, Factfile 03 Representing Sound, Factfile 04 Portability","Same stem appears 2 times: digital-data.practice_bank.topic_01_digital_data.q108, digital-data.practice_bank.topic_01_digital_data.q109.","Match each file format to its correct category.

Terms: A. Image; B. Text; C. Sound; D. Video."
medium,phrase_exact_marking,digital-data.practice_bank.topic_01_digital_data.q119,digital-data,easy,short_text,new_original,"Sources: Factfile 01 Representing Data, Factfile 02 Representing Images, Factfile 03 Representing Sound, Factfile 04 Portability","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",State the term used for the number of bits used to represent the colour of a pixel.
medium,duplicate_stem,ethical-legal-and-environmental-impact.past_paper.topics_07_08_09.q012,ethical-legal-and-environmental-impact,expert,mcq,adapted_exam,"2021 Q8(a), originally 6-mark QWC — split into multiple, part 3","Same stem appears 2 times: ethical-legal-and-environmental-impact.past_paper.topics_07_08_09.q012, ethical-legal-and-environmental-impact.past_paper.topics_07_08_09.q029.",Which of the following is a form of social media misuse?
medium,phrase_exact_marking,ethical-legal-and-environmental-impact.practice_bank.topic_09_12_wider_impact.q017,ethical-legal-and-environmental-impact,easy,short_text,new_original,"Sources: Factfile Unit 1 - Moral Ethical (legislation content beyond brief mentions of the Copyright, Design & Patents Act and Data Protection Act was not present in this fact file or in the Cyberspace / Network Security fact files, so detailed legislation questions could not be generated).","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the Act that gives users rights regarding how their personal data is used by organisations.
medium,duplicate_stem,ethical-legal-and-environmental-impact.practice_bank.topic_09_12_wider_impact.q018,ethical-legal-and-environmental-impact,expert,match_table,new_original,"Sources: Factfile Unit 1 - Moral Ethical (legislation content beyond brief mentions of the Copyright, Design & Patents Act and Data Protection Act was not present in this fact file or in the Cyberspace / Network Security fact files, so detailed legislation questions could not be generated).","Same stem appears 2 times: ethical-legal-and-environmental-impact.practice_bank.topic_09_12_wider_impact.q018, digital-applications.practice_bank.topic_09_12_wider_impact.q031.",Match each term to its correct definition
medium,duplicate_stem,health-and-safety.past_paper.topics_10_11_12.q004,health-and-safety,medium,mcq,adapted_exam,"2022 Q9(a)(i), originally 1-mark short answer — converted to MCQ","Same stem appears 2 times: health-and-safety.past_paper.topics_10_11_12.q004, health-and-safety.practice_bank.topic_09_12_wider_impact.q001.",What does RSI stand for?
medium,duplicate_stem,network-technologies.past_paper.topics_05_06.q006,network-technologies,medium,short_text,adapted_exam,"2019 Q6(a)(i), originally 2-mark — first mark only kept as short factual","Same stem appears 2 times: network-technologies.past_paper.topics_05_06.q006, network-technologies.past_paper.topics_05_06.q031.",What do the letters LAN stand for?
medium,phrase_exact_marking,network-technologies.past_paper.topics_05_06.q006,network-technologies,medium,short_text,adapted_exam,"2019 Q6(a)(i), originally 2-mark — first mark only kept as short factual","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters LAN stand for?
medium,phrase_exact_marking,network-technologies.past_paper.topics_05_06.q022,network-technologies,medium,short_text,adapted_exam,"2022 Q8(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What term is used to describe physical devices connected to the internet that can send and receive data?
medium,phrase_exact_marking,network-technologies.past_paper.topics_05_06.q028,network-technologies,medium,short_text,adapted_exam,"2022 Q12(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters WAN stand for?
medium,phrase_exact_marking,network-technologies.past_paper.topics_05_06.q031,network-technologies,medium,short_text,adapted_exam,"2023 Q7(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters LAN stand for?
medium,phrase_exact_marking,network-technologies.past_paper.topics_05_06.q044,network-technologies,medium,short_text,adapted_exam,"2025 Q8(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters IoT stand for?
medium,phrase_exact_marking,network-technologies.practice_bank.topic_05_06_hardware_networks.q029,network-technologies,easy,short_text,new_original,"Sources: Factfile Unit 1 - Network Technologies 1, Factfile Unit 1 - Network Technologies 2","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the type of cable that consists of insulated copper wires twisted together with an earth wire.
medium,phrase_exact_marking,software.past_paper.topics_01_02.q017,software,medium,short_text,adapted_exam,"2025 Q4(a), kept as original short answer","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What is the name given to the sequence of loading an operating system into RAM when a computer is turned on?
medium,duplicate_stem,software.practice_bank.topic_02_03_software_database.q008,software,easy,mcq,new_original,"Sources: Factfile Unit 1 - Software, Factfile Unit 1 - Software 2","Same stem appears 2 times: software.practice_bank.topic_02_03_software_database.q008, computer-hardware.practice_bank.topic_05_06_hardware_networks.q018.",What does BIOS stand for?
medium,phrase_exact_marking,software.practice_bank.topic_02_03_software_database.q032,software,easy,short_text,new_original,"Sources: Factfile Unit 1 - Software, Factfile Unit 1 - Software 2","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the type of memory that can be read from but cannot be written to.
medium,phrase_exact_marking,software.practice_bank.topic_02_03_software_database.q033,software,easy,short_text,new_original,"Sources: Factfile Unit 1 - Software, Factfile Unit 1 - Software 2","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the special type of computer memory whose purpose is to store frequently accessed programs or instructions.
