difficulty,q_no_in_difficulty,format,stem,options_json,correct_answer_json,explanation,source_type,source_ref,tags_json,qa_status,is_active
easy,33,fill_gap,Fill the gap: The internet is a global network of ____.,null,"{""accepted"":[""networks"",""networks of networks"",""global network of networks"",""a large global network of networks"",""large global network of networks""]}",The internet links many networks together worldwide.,adapted_exam,U1 DT 2025 Q8(b) + MS,"[""internet_definition""]",published,true
easy,34,fill_gap,Fill the gap: An intranet is a ____ organisational network.,null,"{""accepted"":[""private"",""private organisational network"",""private network owned and managed by an organisation"",""private network for employees""]}",An intranet is restricted to authorised people inside an organisation.,adapted_exam,U1 DT 2019 Q6(a)(iii) + MS,"[""intranet""]",published,true
easy,35,fill_gap,Fill the gap: IoT refers to ____ devices connected to the internet.,null,"{""accepted"":[""physical"",""smart"",""physical smart"",""physical devices connected to the internet"",""devices connected to the internet"",""physical smart devices connected to the internet""]}",IoT refers to connected physical devices such as sensors and smart home equipment.,adapted_exam,U1 DT 2025 Q8(a) + MS,"[""iot""]",published,true
easy,36,fill_gap,Fill the gap: Bluetooth is a ____-range wireless technology.,null,"{""accepted"":[""short"",""short-range"",""short range"",""short-range wireless technology"",""short range wireless communication technology""]}",Bluetooth is commonly used for links such as phone-to-headphones or watch-to-phone.,adapted_exam,U1 DT 2025 Q8(c) + MS,"[""bluetooth""]",published,true
easy,37,fill_gap,Fill the gap: A smart TV usually connects to a home network using ____.,null,"{""accepted"":[""Wi-Fi"",""WiFi"",""wireless"",""wireless network access in homes/schools"",""wireless local network access"",""connect devices wirelessly to a local network""]}",Wi-Fi provides wireless access to a local network and internet.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""wifi""]",published,true
easy,38,fill_gap,Fill the gap: Fibre-optic cables carry data as ____ signals.,null,"{""accepted"":[""light"",""light signals"",""pulses of light"",""data transmitted as light""]}",Fibre-optic cables use pulses of light to carry data.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_signals""]",published,true
easy,39,fill_gap,Fill the gap: Fibre-optic cable has ____ bandwidth.,null,"{""accepted"":[""high"",""high bandwidth"",""has a high bandwidth""]}",Fibre is designed to carry large amounts of data quickly.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_bandwidth""]",published,true
easy,40,fill_gap,Fill the gap: Fibre-optic cable is less susceptible to ____.,null,"{""accepted"":[""interference"",""less susceptible to interference"",""low interference"",""less affected by interference""]}",Fibre is less affected by electromagnetic interference than copper cables.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_interference""]",published,true
easy,41,fill_gap,Fill the gap: Data on fibre is generally ____ to intercept than copper.,null,"{""accepted"":[""harder"",""more difficult"",""harder to intercept than copper"",""not easier to intercept than copper"",""more secure than copper for interception""]}",Fibre is typically harder to tap without detection than copper cabling.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_security""]",published,true
easy,42,fill_gap,Fill the gap: Accessing company files while travelling often uses ____.,null,"{""accepted"":[""5G"",""5 g""]}",Mobile broadband such as 5G is used when travelling away from fixed networks.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""mobile_5g""]",published,true
easy,43,fill_gap,Fill the gap: A ____ connects a LAN to the internet.,null,"{""accepted"":[""router"",""connects networks and routes packets"",""joins two or more networks"",""forwards packets from one network to another""]}","Routers direct traffic between networks, including between a LAN and the internet.",adapted_exam,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS","[""router""]",published,true
easy,44,fill_gap,"Fill the gap: On a wired LAN, each device connects to a ____ using Ethernet cables.",null,"{""accepted"":[""switch"",""network switch"",""wired connection to switch"",""devices connect to a switch with ethernet cables"",""ethernet cable to switch""]}","In wired LANs, Ethernet cabling links network devices to switches.",adapted_exam,U1 DT 2023 Q6(b) + MS,"[""ethernet_switch""]",published,true
easy,45,fill_gap,Fill the gap: A NIC allows a device to ____ and communicate on a network.,null,"{""accepted"":[""connect"",""join"",""connect to and communicate on a network"",""allows device to connect to a network"",""network connection and communication""]}",A network interface card provides the hardware interface for network access.,adapted_exam,U1 DT 2023 Q7(e) + MS,"[""nic""]",published,true
easy,46,fill_gap,"Fill the gap: In a bus topology, the main cable is called the ____.",null,"{""accepted"":[""backbone"",""backbone cable"",""main cable in bus network"",""main cable"",""bus main cable""]}",All devices in a bus topology connect to the backbone cable.,adapted_exam,"U1 DT 2023 Q7(b)(iii), 2025 Q13 + MS","[""backbone""]",published,true
easy,47,fill_gap,Fill the gap: A ____ is fitted at each end of a bus cable.,null,"{""accepted"":[""terminator"",""terminators"",""stop signal bounce on bus cable"",""stops signal returning down the backbone"",""absorbs signal to reduce collisions""]}",Terminators absorb signals at cable ends to reduce distortion and data loss.,adapted_exam,U1 DT 2023 Q7(b)(iii) + MS,"[""terminator""]",published,true
easy,48,fill_gap,Fill the gap: A closed-loop network is a ____ topology.,null,"{""accepted"":[""ring"",""ring topology""]}","In ring topology, each node is connected in a closed path.",adapted_exam,U1 DT 2022 Q7(a)(i) + MS,"[""topology_ring_name""]",published,true
easy,49,fill_gap,Fill the gap: A network with one backbone cable is a ____ topology.,null,"{""accepted"":[""bus"",""bus topology"",""bus network""]}",Bus topology is identified by a shared backbone cable.,adapted_exam,U1 DT 2023 Q7(b)(i) + MS,"[""topology_bus_name""]",published,true
easy,50,fill_gap,Fill the gap: A network with one central connection point is a ____ topology.,null,"{""accepted"":[""star"",""star topology"",""star network""]}",Star topology uses a central node and separate device links.,adapted_exam,"U1 DT 2019 Q6(d)(i), 2024 Q6(a) + MS","[""topology_star_name""]",published,true
easy,51,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connect phone to wireless headphones"",""right"":""Bluetooth""},{""left"":""Access cloud files while travelling"",""right"":""5G""},{""left"":""Connect a smart TV to home network"",""right"":""Wi-Fi""},{""left"":""Connect business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Bluetooth"",""5G"",""Wi-Fi"",""Fibre-optic""]}","{""pairs"":{""Connect phone to wireless headphones"":""Bluetooth"",""Access cloud files while travelling"":""5G"",""Connect a smart TV to home network"":""Wi-Fi"",""Connect business LAN to internet"":""Fibre-optic""}}","Phone-headphones uses Bluetooth, travelling cloud access uses 5G, home smart TV uses Wi-Fi, and business LAN internet often uses fibre.",adapted_exam,U1 DT 2023 Q6(a) + MS,"[""easy_match_media""]",published,true
easy,52,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""LAN"",""right"":""Small geographical network""},{""left"":""WAN"",""right"":""Large geographical network""},{""left"":""Internet"",""right"":""Global network of networks""},{""left"":""Intranet"",""right"":""Private organisational network""}],""choices"":[""Collection of linked pages"",""Private organisational network"",""Global network of networks"",""Large geographical network"",""Small geographical network""]}","{""pairs"":{""LAN"":""Small geographical network"",""WAN"":""Large geographical network"",""Internet"":""Global network of networks"",""Intranet"":""Private organisational network""}}","LAN and WAN are network sizes, internet is global public infrastructure, and intranet is private organisational access.",adapted_exam,"U1 DT 2019 Q6(a), 2024 Q1(b)(c), 2025 Q8(b) + MS","[""easy_match_terms""]",published,true
easy,53,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connects networks"",""right"":""Router""},{""left"":""Connects devices in one LAN"",""right"":""Switch""},{""left"":""Lets a computer join a network"",""right"":""NIC""},{""left"":""Stores shared files"",""right"":""File server""}],""choices"":[""Router"",""Switch"",""NIC"",""File server"",""Terminator""]}","{""pairs"":{""Connects networks"":""Router"",""Connects devices in one LAN"":""Switch"",""Lets a computer join a network"":""NIC"",""Stores shared files"":""File server""}}","Router joins networks, switch manages LAN traffic, NIC enables connection, and file server stores shared files.",adapted_exam,"U1 DT 2021 Q6, 2023 Q6(b), 2023 Q7(e) + MS","[""easy_match_device_roles""]",published,true
easy,54,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Fibre has high bandwidth"",""right"":""True""},{""left"":""Fibre transmits data as electrical signals"",""right"":""False""},{""left"":""Fibre is less susceptible to interference"",""right"":""True""},{""left"":""Fibre data is easier to intercept than copper"",""right"":""False""}],""choices"":[""False"",""True""]}","{""pairs"":{""Fibre has high bandwidth"":""True"",""Fibre transmits data as electrical signals"":""False"",""Fibre is less susceptible to interference"":""True"",""Fibre data is easier to intercept than copper"":""False""}}","CCEA fibre facts: high bandwidth, light transmission, lower interference, and not easier to intercept than copper.",adapted_exam,U1 DT 2022 Q8(d) + MS,"[""easy_match_fibre_true_false""]",published,true
easy,55,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Devices connect to one central point"",""right"":""Star""},{""left"":""All nodes share one backbone cable"",""right"":""Bus""},{""left"":""Devices form a closed loop"",""right"":""Ring""},{""left"":""Terminators needed at both ends"",""right"":""Bus""}],""choices"":[""Star"",""Bus"",""Ring"",""LAN""]}","{""pairs"":{""Devices connect to one central point"":""Star"",""All nodes share one backbone cable"":""Bus"",""Devices form a closed loop"":""Ring"",""Terminators needed at both ends"":""Bus""}}",Star means central point; bus means shared backbone and terminators; ring means closed loop.,adapted_exam,"U1 DT 2019 Q6, 2022 Q7(a), 2023 Q7(b)(c), 2024 Q6(a) + MS","[""easy_match_topology""]",published,true
easy,56,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connect phone to wireless headphones"",""right"":""Bluetooth""},{""left"":""Access cloud files while travelling"",""right"":""5G""},{""left"":""Connect a smart TV to home network"",""right"":""Wi-Fi""},{""left"":""Connect business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Fibre-optic"",""Wi-Fi"",""5G"",""Bluetooth""]}","{""pairs"":{""Connect phone to wireless headphones"":""Bluetooth"",""Access cloud files while travelling"":""5G"",""Connect a smart TV to home network"":""Wi-Fi"",""Connect business LAN to internet"":""Fibre-optic""}}","Phone-headphones uses Bluetooth, travelling cloud access uses 5G, home smart TV uses Wi-Fi, and business LAN internet often uses fibre.",adapted_exam,U1 DT 2023 Q6(a) + MS,"[""easy_match_media""]",published,true
easy,57,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""LAN"",""right"":""Small geographical network""},{""left"":""WAN"",""right"":""Large geographical network""},{""left"":""Internet"",""right"":""Global network of networks""},{""left"":""Intranet"",""right"":""Private organisational network""}],""choices"":[""Small geographical network"",""Large geographical network"",""Global network of networks"",""Private organisational network"",""Collection of linked pages""]}","{""pairs"":{""LAN"":""Small geographical network"",""WAN"":""Large geographical network"",""Internet"":""Global network of networks"",""Intranet"":""Private organisational network""}}","LAN and WAN are network sizes, internet is global public infrastructure, and intranet is private organisational access.",adapted_exam,"U1 DT 2019 Q6(a), 2024 Q1(b)(c), 2025 Q8(b) + MS","[""easy_match_terms""]",published,true
easy,58,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connects networks"",""right"":""Router""},{""left"":""Connects devices in one LAN"",""right"":""Switch""},{""left"":""Lets a computer join a network"",""right"":""NIC""},{""left"":""Stores shared files"",""right"":""File server""}],""choices"":[""Terminator"",""File server"",""NIC"",""Switch"",""Router""]}","{""pairs"":{""Connects networks"":""Router"",""Connects devices in one LAN"":""Switch"",""Lets a computer join a network"":""NIC"",""Stores shared files"":""File server""}}","Router joins networks, switch manages LAN traffic, NIC enables connection, and file server stores shared files.",adapted_exam,"U1 DT 2021 Q6, 2023 Q6(b), 2023 Q7(e) + MS","[""easy_match_device_roles""]",published,true
easy,59,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Fibre has high bandwidth"",""right"":""True""},{""left"":""Fibre transmits data as electrical signals"",""right"":""False""},{""left"":""Fibre is less susceptible to interference"",""right"":""True""},{""left"":""Fibre data is easier to intercept than copper"",""right"":""False""}],""choices"":[""True"",""False""]}","{""pairs"":{""Fibre has high bandwidth"":""True"",""Fibre transmits data as electrical signals"":""False"",""Fibre is less susceptible to interference"":""True"",""Fibre data is easier to intercept than copper"":""False""}}","CCEA fibre facts: high bandwidth, light transmission, lower interference, and not easier to intercept than copper.",adapted_exam,U1 DT 2022 Q8(d) + MS,"[""easy_match_fibre_true_false""]",published,true
easy,60,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Devices connect to one central point"",""right"":""Star""},{""left"":""All nodes share one backbone cable"",""right"":""Bus""},{""left"":""Devices form a closed loop"",""right"":""Ring""},{""left"":""Terminators needed at both ends"",""right"":""Bus""}],""choices"":[""LAN"",""Ring"",""Bus"",""Star""]}","{""pairs"":{""Devices connect to one central point"":""Star"",""All nodes share one backbone cable"":""Bus"",""Devices form a closed loop"":""Ring"",""Terminators needed at both ends"":""Bus""}}",Star means central point; bus means shared backbone and terminators; ring means closed loop.,adapted_exam,"U1 DT 2019 Q6, 2022 Q7(a), 2023 Q7(b)(c), 2024 Q6(a) + MS","[""easy_match_topology""]",published,true
medium,1,mcq,Choose the best description of LAN.,"{""choices"":[""Ring"",""Intranet"",""LAN"",""WAN""]}","{""choice"":""LAN""}","A LAN usually serves a local site such as a school, home, or office building.",adapted_exam,U1 DT 2024 Q1(c) + MS,"[""lan""]",published,true
medium,2,mcq,Which option is correct for WAN?,"{""choices"":[""World area network"",""WAN"",""LAN"",""Wired applications network""]}","{""choice"":""WAN""}","A WAN spans large distances, often connecting sites in different towns or countries.",adapted_exam,U1 DT 2024 Q1(b) + MS,"[""wan""]",published,true
medium,3,mcq,Select the accurate option for internet.,"{""choices"":[""collection of linked web pages"",""private organisational network"",""single network in one building"",""global network of networks""]}","{""choice"":""global network of networks""}",The internet links many networks together worldwide.,adapted_exam,U1 DT 2025 Q8(b) + MS,"[""internet_definition""]",published,true
medium,4,mcq,Choose the best description of World Wide Web.,"{""choices"":[""private internal staff network"",""device-to-device short-range link"",""global physical cable backbone"",""collection of linked web pages on web servers""]}","{""choice"":""collection of linked web pages on web servers""}",The web is one service that runs on the internet and provides linked pages.,adapted_exam,U1 DT 2025 Q8(b) + MS,"[""www_definition""]",published,true
medium,5,mcq,Which option is correct for internet vs world wide web?,"{""choices"":[""internet is network; web is application"",""both terms mean exactly the same"",""web is hardware"",""internet is only email""]}","{""choice"":""internet is network; web is application""}",The internet is the infrastructure; the web is one service that uses it.,adapted_exam,U1 DT 2025 Q8(c) + MS,"[""internet_vs_www""]",published,true
medium,6,mcq,Select the accurate option for IoT.,"{""choices"":[""printed barcodes on paper"",""only social media accounts"",""physical devices connected to the internet"",""only desktop computers""]}","{""choice"":""physical devices connected to the internet""}",IoT refers to connected physical devices such as sensors and smart home equipment.,adapted_exam,U1 DT 2025 Q8(a) + MS,"[""iot""]",published,true
medium,7,mcq,Choose the best description of Wi-Fi.,"{""choices"":[""wireless network access in homes/schools"",""main cable in a bus network"",""light-based long-distance cable system"",""short-range personal pairing only""]}","{""choice"":""wireless network access in homes/schools""}",Wi-Fi provides wireless access to a local network and internet.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""wifi""]",published,true
medium,8,mcq,Which option is correct for Bluetooth?,"{""choices"":[""long-distance fixed cable backbone"",""global network of networks"",""main cable in a bus topology"",""short-range wireless technology""]}","{""choice"":""short-range wireless technology""}",Bluetooth is commonly used for links such as phone-to-headphones or watch-to-phone.,adapted_exam,U1 DT 2025 Q8(c) + MS,"[""bluetooth""]",published,true
medium,9,mcq,Select the accurate option for optical fibre.,"{""choices"":[""audio waves"",""electrical signals"",""magnetic tape"",""light signals""]}","{""choice"":""light signals""}",Fibre-optic cables use pulses of light to carry data.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_signals""]",published,true
medium,10,mcq,Choose the best description of optical fibre security.,"{""choices"":[""easier to intercept than copper"",""cannot be made secure"",""harder to intercept than copper"",""always publicly broadcast""]}","{""choice"":""harder to intercept than copper""}",Fibre is typically harder to tap without detection than copper cabling.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_security""]",published,true
medium,11,mcq,Which option is correct for best medium while travelling?,"{""choices"":[""5G"",""Bluetooth"",""Wi-Fi"",""Fibre-optic""]}","{""choice"":""5G""}",Mobile broadband such as 5G is used when travelling away from fixed networks.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""mobile_5g""]",published,true
medium,12,mcq,Select the accurate option for NIC purpose.,"{""choices"":[""connect to and communicate on a network"",""prints paper documents"",""stores shared files"",""creates topology diagrams""]}","{""choice"":""connect to and communicate on a network""}",A network interface card provides the hardware interface for network access.,adapted_exam,U1 DT 2023 Q7(e) + MS,"[""nic""]",published,true
medium,13,mcq,Choose the best description of switch function.,"{""choices"":[""connects devices in a lan and forwards data"",""connects countries globally"",""creates wireless signals only"",""stores files for all users""]}","{""choice"":""connects devices in a lan and forwards data""}","A switch operates inside a LAN, sending traffic to the correct destination.",new_original,U1 DT 2021 Q6(1) + MS; Network_Technologies_Notes.docx,"[""switch""]",published,true
medium,14,mcq,Which option is correct for router function?,"{""choices"":[""connects networks and routes packets"",""joins nodes to one backbone cable"",""stores documents centrally"",""acts as a workstation""]}","{""choice"":""connects networks and routes packets""}","Routers direct traffic between networks, including between a LAN and the internet.",new_original,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""router""]",published,true
medium,15,mcq,Select the accurate option for file server purpose.,"{""choices"":[""ends a bus cable"",""routes internet packets"",""pairs bluetooth accessories"",""stores shared files for network users""]}","{""choice"":""stores shared files for network users""}",A file server gives centralised access to shared resources in a network.,new_original,U1 DT 2021 Q6(1) + MS; Network_Technologies_Notes.docx,"[""file_server""]",published,true
